,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
221,Delta City,44.804800000000064,20.40499000000005,H&M,44.805430385574354,20.40461797965691,Clothing Store
222,Delta City,44.804800000000064,20.40499000000005,C&A,44.804937592028324,20.406073604421728,Clothing Store
223,Delta City,44.804800000000064,20.40499000000005,Express Kuhinja,44.80526833842541,20.407406080570695,Restaurant
224,Delta City,44.804800000000064,20.40499000000005,Asia Food,44.80503313538015,20.40473628041347,Chinese Restaurant
225,Delta City,44.804800000000064,20.40499000000005,Mala Kuhinja,44.80646233461203,20.404622624473483,Italian Restaurant
226,Delta City,44.804800000000064,20.40499000000005,Despacito,44.80484487377145,20.402149005802215,Restaurant
227,Delta City,44.804800000000064,20.40499000000005,Fish & Bar,44.8050397605471,20.40462341360827,Seafood Restaurant
228,Delta City,44.804800000000064,20.40499000000005,KFC,44.80500405336649,20.40469469537229,Fried Chicken Joint
229,Delta City,44.804800000000064,20.40499000000005,Sport Vision,44.80590050054751,20.404740289805464,Sporting Goods Shop
230,Delta City,44.804800000000064,20.40499000000005,Fifty Fifty,44.805960763543794,20.407763117530994,Restaurant
231,Delta City,44.804800000000064,20.40499000000005,Caribic Pizza,44.805011696690414,20.40470799737639,Pizza Place
232,Delta City,44.804800000000064,20.40499000000005,Tehnomanija,44.80378778445804,20.404511168504317,Electronics Store
233,Delta City,44.804800000000064,20.40499000000005,Caffe Pizzeria Mimis,44.80650972962209,20.406952302525095,Pizza Place
234,Delta City,44.804800000000064,20.40499000000005,Igraonica Circus,44.80501502237055,20.404733803335045,Indoor Play Area
235,Delta City,44.804800000000064,20.40499000000005,Очајне домаћице | Očajne domaćice,44.805123007938995,20.40751108089608,Fast Food Restaurant
236,Delta City,44.804800000000064,20.40499000000005,Propaganda,44.80522787437553,20.407078865922042,Café
237,Delta City,44.804800000000064,20.40499000000005,Music,44.804949035408576,20.404522179333007,Café
238,Delta City,44.804800000000064,20.40499000000005,SuperMaxi,44.80485947143091,20.405961504441496,Supermarket
239,Delta City,44.804800000000064,20.40499000000005,Tally Weijl,44.80500025780688,20.40591849882314,Women's Store
240,Delta City,44.804800000000064,20.40499000000005,Coincasa,44.80493418786574,20.404760263031235,Furniture / Home Store
241,Delta City,44.804800000000064,20.40499000000005,Samsung Galaxy Studio,44.80515424456546,20.404875587143128,General Entertainment
242,Delta City,44.804800000000064,20.40499000000005,Benu apoteka,44.80487302208618,20.405934642548782,Pharmacy
243,Delta City,44.804800000000064,20.40499000000005,Vip mobile,44.80519914105451,20.404855447442273,Mobile Phone Shop
244,Delta City,44.804800000000064,20.40499000000005,Beosport,44.8049335353319,20.405038514501797,Sporting Goods Shop
245,Delta City,44.804800000000064,20.40499000000005,Buzz,44.80492350396291,20.40608174508812,Sporting Goods Shop
246,Delta City,44.804800000000064,20.40499000000005,Aldo,44.80502647923581,20.404701232910156,Shoe Store
